Highest Offense Description,Latitude,Longitude,year
BURGLARY OF VEHICLE,30.37097716,-97.72801121,2022
AIRPORT PLACES WEAPON PROHIBIT,30.20200809,-97.6668813,2022
ASSAULT WITH INJURY,30.32499378,-97.73803803,2022
THEFT OF BICYCLE,30.35872864,-97.72281411,2022
BURGLARY OF VEHICLE,30.25587993,-97.7988732,2022
FAMILY DISTURBANCE,30.19427115,-97.78518455,2022
BURGLARY OF VEHICLE,30.22656848,-97.87800272,2022
BURGLARY OF VEHICLE,30.29111809,-97.78728021,2022
DWI  .15 BAC OR ABOVE,30.42060464,-97.70105289,2022
BURGLARY OF VEHICLE,30.32959567,-97.71547307,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.28936106,-97.69430354,2022
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.29246578,-97.72275227,2022
FAMILY DISTURBANCE,30.36920579,-97.6911639,2022
FAMILY DISTURBANCE,30.29181616,-97.73151714,2022
AUTO THEFT,30.2452577,-97.76418955,2022
ASSAULT WITH INJURY,30.31255862,-97.66379797,2022
CRIMINAL MISCHIEF,30.30755468,-97.67805181,2022
BURGLARY OF VEHICLE,30.15669901,-97.81419971,2022
DWI,30.40102212,-97.7448628,2022
CRIMINAL TRESPASS,30.35547286,-97.73354229,2022
FAMILY DISTURBANCE,30.18419472,-97.85001838,2022
ASSAULT BY CONTACT,30.26618573,-97.73558546,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
BURGLARY OF VEHICLE,30.36917279,-97.80245837,2022
BURGLARY OF VEHICLE,30.3659152,-97.7872499,2022
THEFT,30.39665644,-97.72323395,2022
CRIMINAL MISCHIEF-NO SUSPECT,30.40526665,-97.67189551,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.23931382,-97.73742964,2022
THEFT OF BICYCLE,30.26982251,-97.7316948,2022
BURGLARY OF VEHICLE,30.44827674,-97.78795296,2022
TERRORISTIC THREAT,30.16222478,-97.78698214,2022
FAILURE TO REG AS SEX OFFENDER,,,2022
BURGLARY OF VEHICLE,30.2141813,-97.77528898,2022
CRASH/FAIL STOP AND RENDER AID,30.27115836,-97.73260305,2022
CRIMINAL MISCHIEF,30.22702652,-97.70793763,2022
FAMILY DISTURBANCE,30.35979385,-97.68835483,2022
FAMILY DISTURBANCE,30.31554109,-97.70229583,2022
AUTO THEFT,30.29352023,-97.71606172,2022
CHILD CUSTODY INTERFERE,30.20110086,-97.69611608,2022
FAMILY DISTURBANCE/PARENTAL,30.43512171,-97.79363586,2022
INJURY TO ELDERLY PERSON,30.25174715,-97.69831584,2022
FAMILY DISTURBANCE,30.28288122,-97.68750246,2022
FAMILY DISTURBANCE,30.22842038,-97.70992361,2022
AGG ROBBERY/DEADLY WEAPON,30.31279605,-97.665294,2022
FAMILY DISTURBANCE,30.19115373,-97.73544043,2022
FAMILY DISTURBANCE,30.30755468,-97.67805181,2022
DISTURBANCE - OTHER,30.26722605,-97.73860556,2022
FAMILY DISTURBANCE,30.30875245,-97.6635514,2022
DWI 2ND,30.27180601,-97.75403099,2022
